スズカフェニックス,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ローズオブスズカ,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Rose of Jericho,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Rose Red,Northern Dancer
,,,,Cambrienne
クラウンポインター,ワイルドラッシュ,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Rose Park,Plugged Nickle,Key to the Mint
,,,,Toll Booth
,,,Hardship,Drone
,,,,Hard and Fast
,コウエイシャダイ,リアルシャダイ,Roberto,Hail to Reason
,,,,Bramalea
,,,Desert Vixen,In Reality
,,,,Desert Trial
,,ポイントゲッター,シルバーシャーク,Buisson Ardent
,,,,Palsaka
,,,トサハヤテ,トサミドリ
,,,,ミスフロント
