フィガロ,Future Storm,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Sea Sands,Sea-Bird,Dan Cupid
,,,,Sicalade
,,,Slapton Sands,First Landing
,,,,Legendra
,Karamea,Air Forbes Won,Bold Forbes,Irish Castle
,,,,Comely Nell
,,,Bronze Point,Tobin Bronze
,,,,Summer Point
,,Timely Table,Around Two Turns,Round Table
,,,,Highland Fling
,,,Timely Tammy,Tim Tam
,,,,Home by Dark
デラセーラ,Maria's Mon,Wavering Monarch,Majestic Light,Majestic Prince
,,,,Irradiate
,,,Uncommitted,Buckpasser
,,,,Lady Be Good
,,Carlotta Maria,Caro,フォルティノ
,,,,Chambord
,,,Water Malone,Naskra
,,,,Gray Matter
,プリモディーネ,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,モンパリ,マルゼンスキー,Nijinsky
,,,,シル
,,,イザベラ,イエローゴッド
,,,,モンナバンナ
