ビービーガルダン,チーフベアハート,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Amelia Bearhart,Bold Hour,Bold Ruler
,,,,Seven Thirty
,,,Myrtlewood Lass,Ribot
,,,,Gold Digger
,オールザチャット,Westminster,Grosvenor,Sir Tristram
,,,,My Tricia
,,,Apple Blossom,Bismark
,,,,Mary Poppins
,,Rory's Helen,Rory's Jester,Crown Jester
,,,,Rory's Rocket
,,,Helen's Love,Karayar
,,,,Helen of Troy
バンジョーピジョン,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,インワンズジョイ,Rainbow Quest,Blushing Groom,Red God
,,,,Runaway Bride
,,,I Will Follow,Herbager
,,,,Where You Lead
,,Kaweah Maid,General Assembly,Secretariat
,,,,Exclusive Dancer
,,,Janina,Match
,,,,Jennifer
