ノヴェリスト,Monsun,Konigsstuhl,Dschingis Khan,Tamerlane
,,,,Donna Diana
,,,Konigskronung,Tiepoletto
,,,,Kronung
,,Mosella,Surumu,Literat
,,,,Surama
,,,Monasia,Authi
,,,,Monacensia
,Night Lagoon,Lagunas,イルドブルボン,Nijinsky
,,,,Roseliere
,,,Liranga,Literat
,,,,Love In
,,Nenuphar,Night Shift,Northern Dancer
,,,,Ciboulette
,,,Narola,Nebos
,,,,Nubia
メイショウシオギリ,メイショウドトウ,Bigstone,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Batave,ポツセ
,,,,Bon Appetit
,,プリンセスリーマ,Affirmed,Exclusive Native
,,,,Won't Tell You
,,,First Fling,Nijinsky
,,,,Fast Approach
,メイショウエビータ,キンググローリアス,Naevus,Mr. Prospector
,,,,Mudville
,,,Glorious Natalie,Reflected Glory
,,,,Blue Eyed Blonde
,,デザート,Cox's Ridge,Best Turn
,,,,Our Martha
,,,Mojave,Northern Dancer
,,,,Desert Flight
