シングンオペラ,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,タケノハナミ,ハードツービート,ハーディカヌート,ハードリドン
,,,,Harvest Maid
,,,Virtuous,Above Suspicion
,,,,Rose of India
,,ヒカルカマタ,アイアンリージ,Bull Lea
,,,,Iron Maiden
,,,コランディア,Auriban
,,,,Arlanza
エフロレス,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,カービーメドウ,Meadowlake,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Suspicious Native,Raise a Native
,,,,Be Suspicious
,,Retinue,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Dancing Angela,ダンサーズイメージ
,,,,Nangela
