グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
スターポケット,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,ホシノメガミ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダイアナスキー,マルゼンスキー,Nijinsky
,,,,シル
,,,ダイアンベンチヤ,ヴェンチア
,,,,マルイチジョウオー
