アドマイヤマックス,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダイナシュート,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,シヤダイマイン,ヒッティングアウェー,Ambiorix
,,,,Striking
,,,ファンシミン,Determine
,,,,Fanciful Miss
テイエムビックイ,テイエムオペラオー,オペラハウス,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Colorspin,High Top
,,,,Reprocolor
,,ワンスウエド,Blushing Groom,Red God
,,,,Runaway Bride
,,,Noura,Key to the Kingdom
,,,,River Guide
,テイエムシャルマン,ステートリードン,Nureyev,Northern Dancer
,,,,Special
,,,Dona Ysidra,Le Fabuleux
,,,,Matriarch
,,ユーワメルド,サティンゴ,Petingo
,,,,Saquebute
,,,ピーチガール,セダン
,,,,メリーブラット
