ジャングルポケット,トニービン,カンパラ,Kalamoun,ゼダーン
,,,,Khairunissa
,,,State Pension,オンリーフォアライフ
,,,,Lorelei
,,Severn Bridge,Hornbeam,Hyperion
,,,,Thicket
,,,Priddy Fair,Preciptic
,,,,Campanette
,ダンスチャーマー,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Skillful Joy,Nodouble,Noholme
,,,,Abla-Jay
,,,Skillful Miss,Daryl's Joy
,,,,Poliniss
ルナルナ,アフリート,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Polite Lady,Venetian Jester,Tom Fool
,,,,Venice
,,,Friendly Ways,Green Ticket
,,,,Ways to Learn
,オースミサツキ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,ルナパーク,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,サイクラス,Sword Dancer
,,,,Cycle
