アッミラーレ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダジルミージョリエ,Carr de Naskra,Star de Naskra,Naskra
,,,,Candle Star
,,,Cornish Runner,Cornish Prince
,,,,Gunner's Runner
,,Mawgrit,Hoist the Flag,Tom Rolfe
,,,,Wavy Navy
,,,Spring Sunshine,Nashua
,,,,Real Delight
キョウワゴールド,キョウワアリシバ,Alysheba,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Bel Sheba,Lt. Stevens
,,,,Belthazar
,,Sulemeif,Northern Dancer,Nearctic
,,,,Natalma
,,,Barely Even,Creme dela Creme
,,,,Dodge Me
,シラタマ,ロドリゴデトリアーノ,El Gran Senor,Northern Dancer
,,,,Sex Appeal
,,,Hot Princess,ホットスパーク
,,,,Aspara
,,カンコウバイ,Java Gold,Key to the Mint
,,,,Javamine
,,,Jardin de Nuit,Raja Baba
,,,,The Garden Club
