ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
メイドインリオ,Captain Rio,Pivotal,Polar Falcon,Nureyev
,,,,Marie d'Argonne
,,,Fearless Revival,Cozzene
,,,,Stufida
,,Beloved Visitor,Miswaki,Mr. Prospector
,,,,Hopespringseternal
,,,Abeesh,Nijinsky
,,,,Lady Bugler
,Silver Whale,Highest Honor,Kenmare,Kalamoun
,,,,Belle of Ireland
,,,High River,Riverman
,,,,Hairbrush
,,Silver Cobra,Silver Hawk,Roberto
,,,,Gris Vitesse
,,,Copperhead,Hawaii
,,,,Basin
