シングンオペラ,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,タケノハナミ,ハードツービート,ハーディカヌート,ハードリドン
,,,,Harvest Maid
,,,Virtuous,Above Suspicion
,,,,Rose of India
,,ヒカルカマタ,アイアンリージ,Bull Lea
,,,,Iron Maiden
,,,コランディア,Auriban
,,,,Arlanza
クーファゲルニカ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,エポカブラヴァ,Point Given,サンダーガルチ,Gulch
,,,,Line of Thunder
,,,Turko's Turn,Turkoman
,,,,Turbo Launch
,,Aucilla,Relaunch,In Reality
,,,,Foggy Note
,,,My Cherie Amour,Sham
,,,,Tanapa
