ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
ブロッサムレーン,New Approach,Galileo,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,アーバンシー,Miswaki
,,,,Allegretta
,,Park Express,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Matcher,Match
,,,,Lachine
,Monturani,Indian Ridge,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Hillbrow,Swing Easy
,,,,Golden City
,,Mezzogiorno,Unfuwain,Northern Dancer
,,,,Height of Fashion
,,,Aigue,High Top
,,,,Cecilia Bianchi
