ジャングルポケット,トニービン,カンパラ,Kalamoun,ゼダーン
,,,,Khairunissa
,,,State Pension,オンリーフォアライフ
,,,,Lorelei
,,Severn Bridge,Hornbeam,Hyperion
,,,,Thicket
,,,Priddy Fair,Preciptic
,,,,Campanette
,ダンスチャーマー,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Skillful Joy,Nodouble,Noholme
,,,,Abla-Jay
,,,Skillful Miss,Daryl's Joy
,,,,Poliniss
ハンドスター,パラダイスクリーク,Irish River,Riverman,Never Bend
,,,,River Lady
,,,Irish Star,Klairon
,,,,Botany Bay
,,North Of Eden,Northfields,Northern Dancer
,,,,Little Hut
,,,ツリーオブノレッジ,Sassafras
,,,,Sensibility
,ビーフレグラント,ダイタクヘリオス,ビゼンニシキ,ダンディルート
,,,,ベニバナビゼン
,,,ネヴアーイチバン,ネヴァービート
,,,,ミスナンバイチバン
,,コンサートダイナ,ハンターコム,Derring-Do
,,,,Ergina
,,,コンサーテイスト,Supreme Sovereign
,,,,Chambord
