パイロ,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Preach,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Narrate,Honest Pleasure
,,,,State
,Wild Vision,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Carol's Wonder,Pass the Tab,Al Hattab
,,,,Dantina
,,,Carols Christmas,Whitesburg
,,,,Light Verse
グッドファイト,チーフベアハート,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Amelia Bearhart,Bold Hour,Bold Ruler
,,,,Seven Thirty
,,,Myrtlewood Lass,Ribot
,,,,Gold Digger
,ロングバージン,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スイーブ,テューダーペリオッド,Owen Tudor
,,,,Cornice
,,,ゴールデンドラゴン,ヒンドスタン
,,,,第五カナデアンガール
