"horse_name","percentage"
"ディープインパクト","50.0"
"サンデーサイレンス","25.0"
"Halo","12.5"
"Hail to Reason","6.4453125"
"Turn-to","4.00390625"
"Nothirdchance","3.22265625"
"Cosmah","6.25"
"Cosmic Bomb","3.125"
"Almahmoud","4.6875"
"Wishing Well","12.5"
"Understanding","6.25"
"Promised Land","3.125"
"Pretty Ways","3.125"
"Mountain Flower","6.25"
"Montparnasse","3.125"
"Edelweiss","3.125"
"ウインドインハーヘア","25.0"
"Alzao","12.5"
"Lyphard","7.8125"
"Northern Dancer","6.25"
"Goofed","3.90625"
"Lady Rebecca","6.25"
"Sir Ivor","3.125"
"Pocahontas","3.125"
"Burghclere","12.5"
"Busted","6.25"
"Crepello","3.125"
"Sans le Sou","3.125"
"Highclere","6.25"
"Queen's Hussar","3.125"
"Highlight","3.125"
"ロードクロサイト","50.0"
"Unbridled's Song","25.0"
"Unbridled","12.5"
"Fappiano","9.375"
"Mr. Prospector","6.25"
"Killaloe","6.25"
"Gana Facil","6.25"
"Le Fabuleux","3.125"
"Charedi","3.125"
"Trolley Song","12.5"
"Caro","6.25"
"フォルティノ","3.125"
"Chambord","3.125"
"Lucky Spell","6.25"
"Lucky Mel","3.125"
"Incantation","4.6875"
"Folklore","25.0"
"Tiznow","12.5"
"Cee's Tizzy","6.25"
"Relaunch","3.125"
"テイズリー","3.125"
"Cee's Song","6.25"
"Seattle Song","3.125"
"Lonely Dancer","3.125"
"Contrive","12.5"
"Storm Cat","6.25"
"Storm Bird","3.125"
"Terlingua","3.125"
"Jeano","6.25"
"バジー","3.125"
"Royal Charger","2.734375"
"Nearco","3.90625"
"Pharos","2.5390625"
"Phalaris","3.41796875"
"Polymelus","1.3671875"
"Bromus","1.26953125"
"Scapa Flow","1.7578125"
"Chaucer","1.85546875"
"Anchora","0.48828125"
"Nogara","2.05078125"
"Havresac","0.87890625"
"Rabelais","1.171875"
"Hors Concours","0.1953125"
"Catnip","0.78125"
"Spearmint","1.46484375"
"Sibola","0.1953125"
"Sun Princess","1.3671875"
"Solario","1.953125"
"Gainsborough","4.1015625"
"Bayardo","1.5625"
"Rosedrop","1.5625"
"Sun Worship","0.87890625"
"Sundridge","0.87890625"
"Doctrine","0.390625"
"Mumtaz Begum","1.66015625"
"Blenheim","4.39453125"
"Blandford","2.5390625"
