ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ポインテッドパス,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Silken Way,Shantung,Sicambre
,,,,Barley Corn
,,,Boulevard,Pall Mall
,,,,Costa Sola
メイショウデンコー,ジェイドロバリー,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Number,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Special,Forli
,,,,Thong
,メイショウベローナ,ベルマン,Riverman,Never Bend
,,,,River Lady
,,,Belga,Le Fabuleux
,,,,Belle de Retz
,,ジユリエツタ,ダイアトム,Sicambre
,,,,Dictaway
,,,キタノスガタ,ソロナウェー
,,,,ロゼッタ
