パイロ,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Preach,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Narrate,Honest Pleasure
,,,,State
,Wild Vision,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Carol's Wonder,Pass the Tab,Al Hattab
,,,,Dantina
,,,Carols Christmas,Whitesburg
,,,,Light Verse
チャームエンジェル,Theatrical,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,ツリーオブノレッジ,Sassafras,Sheshoon
,,,,Ruta
,,,Sensibility,Hail to Reason
,,,,Pange
,Durability,Affirmed,Exclusive Native,Raise a Native
,,,,Exclusive
,,,Won't Tell You,Crafty Admiral
,,,,Scarlet Ribbon
,,Gipsy Jet,Windy Sands,Your Host
,,,,Samoa Winds
,,,Gipsy Queen,キングスベンチ
,,,,Water Gipsy
