"horse_name","percentage"
"パイロ","0.5"
"Pulpit","0.25"
"A.P. Indy","0.125"
"Seattle Slew","0.0625"
"Bold Reasoning","0.03125"
"My Charmer","0.03125"
"Weekend Surprise","0.0625"
"Secretariat","0.046875"
"Lassie Dear","0.03125"
"Preach","0.125"
"Mr. Prospector","0.09375"
"Raise a Native","0.0625"
"Gold Digger","0.046875"
"Narrate","0.0625"
"Honest Pleasure","0.03125"
"State","0.03125"
"Wild Vision","0.25"
"Wild Again","0.125"
"Icecapade","0.0625"
"Nearctic","0.05078125"
"Shenanigans","0.03125"
"Bushel-n-Peck","0.0625"
"Khaled","0.03125"
"Dama","0.03125"
"Carol's Wonder","0.125"
"Pass the Tab","0.0625"
"Al Hattab","0.03125"
"Dantina","0.03125"
"Carols Christmas","0.0625"
"Whitesburg","0.03125"
"Light Verse","0.03125"
"ゴッドビラブドミー","0.5"
"ブライアンズタイム","0.25"
"Roberto","0.15625"
"Hail to Reason","0.1015625"
"Turn-to","0.06640625"
"Nothirdchance","0.05078125"
"Bramalea","0.09375"
"Nashua","0.0703125"
"Rarelea","0.046875"
"Kelley's Day","0.125"
"Graustark","0.0625"
"Ribot","0.03125"
"Flower Bowl","0.03125"
"Golden Trail","0.0625"
"Hasty Road","0.03125"
"Sunny Vale","0.03125"
"ゴッドインチーフ","0.25"
"コマンダーインチーフ","0.125"
"ダンシングブレーヴ","0.0625"
"Lyphard","0.03125"
"Navajo Princess","0.03125"
"Slightly Dangerous","0.0625"
"Where You Lead","0.03125"
"ファーガーズプロスペクト","0.125"
"Chief's Crown","0.0625"
"Danzig","0.03125"
"Six Crowns","0.03125"
"Fager's Glory","0.0625"
"Street's Glory","0.03125"
"Boldnesian","0.015625"
"Bold Ruler","0.0390625"
"Nasrullah","0.0595703125"
"Nearco","0.0888671875"
"Pharos","0.056640625"
"Nogara","0.04296875"
"Mumtaz Begum","0.0361328125"
"Blenheim","0.03515625"
"Mumtaz Mahal","0.025390625"
"Miss Disco","0.01953125"
"Discovery","0.03125"
"Display","0.0146484375"
"Ariadne","0.0146484375"
"Outdone","0.009765625"
"Pompey","0.0087890625"
"Sweep Out","0.0048828125"
"Alanesian","0.0078125"
"Polynesian","0.0322265625"
"Unbreakable","0.015625"
"Sickle","0.0068359375"
"Blue Glass","0.0068359375"
