日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/07/05,4阪神2,晴,2,3歳未勝利,"

",17,4,7,20.1,6,8,"
藤井勘一
",56,芝1600,稍,"

**

",1:37.5,1.6,"

**

",5-5,35.1-36.7,37.8,490(-4),"

","


 
",カケル, 
2020/03/22,1阪神9,晴,5,3歳未勝利,"

",13,3,3,5.9,2,6,"
浜中俊
",56,芝2000,良,"

**

",2:01.5,0.6,"

**

",10-10-11-11,36.3-36.0,35.6,494(0),"

","


 
",プリマヴィスタ, 
2020/03/01,1阪神2,晴,5,3歳新馬,"

",16,7,13,90.4,11,5,"
川又賢治
",55,芝2000,稍,"

**

",2:05.4,0.3,"

**

",4-5-6-4,37.2-35.6,35.5,494(0),"

","


 
",トリンカデイラ,60.0
