日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/07/04,2福島1,曇,7,3歳未勝利,"

",16,4,7,132.1,15,15,"
菅原明良
",54,芝2000,重,"

**

",2:04.7,2.2,"

**

",15-15-14-13,34.9-36.0,36.5,464(-2),"

","



",ステラドーロ, 
2020/03/28,3中山1,曇,2,3歳未勝利,"

",16,7,13,34.3,8,15,"
横山武史
",56,ダ1800,良,"

**

",1:59.5,3.4,"

**

",15-15-15-15,36.6-39.8,40.6,466(0),"

","



",インナーアリュール, 
2020/01/25,1中山8,曇,6,3歳新馬,"

",16,2,3,8.7,4,14,"
横山典弘
",56,芝2000,良,"

**

",2:11.1,2.8,"

**

",11-11-13-13,40.6-35.8,37.0,466(0),"

","


 
",イマジナリーライン, 
